id,code,name,short_name,colour
BKL,Bakerloo Line,Bakerloo,ab6612
CEN,Central Line,Central,df002c
CIR,Circle Line,Circle,f7dc00
DIS,District Line,District,0d6928
ELL,East London Line,East London,f3ba22
HCL,Hammersmith & City Line,Hammersmith & City,f5a6b3
JUB,Jubilee Line,Jubilee,767b7f
MET,Metropolitan Line,Metropolitan,8b004c
NOR,Northern Line,Northern,000000
PIC,Piccadilly Line,Picadilly,002d73
VIC,Victoria Line,Victoria,0076bd
WCL,Waterloo & City Line,Waterloo & City,89cbc1
DLR,Docklands Light Railway,DLR,00A77E
