station_id,line_id
1,4
1,10
2,3
2,8
3,4
3,6
4,13
5,10
6,8
7,9
8,9
9,10
10,10
11,1
11,1
11,3
11,6
11,7
11,8
12,9
13,2
13,9
13,12
13,13
14,3
14,6
14,8
15,4
15,6
16,2
17,4
17,10
18,3
18,4
19,13
20,13
21,4
22,9
23,7
24,2
25,3
25,4
26,11
27,13
28,2
28,7
29,9
30,10
31,10
32,13
33,4
33,6
34,9
35,11
36,4
36,6
37,2
38,9
39,10
40,9
41,5
41,7
42,7
42,13
43,7
43,13
44,3
44,4
45,7
46,8
47,9
48,2
49,1
49,9
50,8
51,2
52,4
53,8
54,9
55,9
56,9
57,10
58,9
59,9
60,10
61,13
62,8
63,13
64,13
65,13
66,4
67,4
68,2
69,13
70,13
71,7
72,2
72,4
73,4
73,10
74,4
74,10
75,8
75,10
76,2
77,9
78,4
78,6
79,13
80,4
81,9
82,1
83,3
83,4
83,6
84,1
84,9
85,4
86,13
87,1
87,3
87,4
87,9
88,2
89,9
89,11
90,3
90,6
90,8
91,2
92,3
92,6
92,8
93,9
94,7
94,8
95,10
95,11
96,4
97,13
98,2
99,3
99,4
99,10
100,9
101,6
102,9
103,2
104,3
104,6
104,8
105,2
106,13
107,7
107,10
107,11
108,4
109,2
110,4
110,6
110,10
111,9
112,2
113,1
114,1
115,8
116,10
117,10
118,10
119,9
120,13
121,9
122,3
122,4
123,11
124,9
125,8
125,10
126,2
126,10
127,2
128,10
129,4
130,10
131,10
132,10
133,10
134,8
134,10
135,13
136,9
137,1
138,4
139,9
140,1
141,4
142,7
143,1
144,7
145,3
145,6
145,8
145,9
145,10
145,11
146,10
147,6
148,1
149,2
150,6
151,9
151,10
152,13
153,2
154,2
155,13
156,2
156,3
156,6
156,8
157,7
157,9
158,2
159,1
160,10
161,3
161,4
162,2
163,1
164,2
164,4
164,6
165,9
166,3
166,4
167,3
167,6
167,8
167,9
168,8
169,9
170,9
171,13
172,7
173,2
174,5
175,5
176,10
177,2
178,8
179,8
180,8
181,2
182,10
183,7
184,8
185,1
186,2
186,3
186,4
187,10
188,9
190,10
191,9
192,1
192,2
192,11
193,1
193,3
193,4
193,6
194,10
195,4
196,2
197,1
197,10
198,11
199,8
200,4
200,6
201,13
202,8
203,13
204,13
205,4
206,1
207,7
208,2
209,4
210,8
210,10
211,2
212,1
213,4
214,8
215,2
216,5
217,13
218,6
219,13
220,8
220,10
221,2
222,8
222,10
223,10
224,11
225,5
225,13
226,2
227,6
228,5
229,3
229,4
230,2
231,4
232,10
233,7
234,10
235,10
236,3
236,4
236,10
237,1
238,13
239,2
240,9
241,2
242,4
243,7
244,4
244,6
245,9
245,11
246,1
247,2
247,7
247,13
248,3
248,4
249,7
250,2
251,10
252,10
253,5
254,7
255,3
255,4
256,2
257,9
258,9
259,2
259,9
260,11
261,9
262,13
263,3
263,4
264,9
265,4
265,10
266,10
267,4
268,4
269,4
270,4
270,6
271,8
271,10
272,11
273,3
273,4
273,11
274,11
275,2
276,5
277,9
277,11
278,1
279,1
279,7
279,9
279,12
280,8
281,1
282,7
282,8
283,6
284,13
285,3
285,4
285,7
286,2
287,4
288,9
289,4
289,6
289,7
290,7
291,8
292,13
293,4
294,2
295,4
295,5
295,6
296,2
297,7
298,1
299,4
300,4
301,2
302,9
303,10
304,13
305,13
306,13
307,13
